Nome,Modalidade,Nivel,Agência
JOAO AGUIAR NOGUEIRA BATISTA,PQ,C,CNPq
JOAO BOSCO MOURA TONUCCI FILHO,PQ,C,CNPq
JOAO HENRIQUE FROTA CAVALCANTI,PQ,2,CNPq
JOAO PRATES ROMERO,PQ,C,CNPq
JOAO RENATO STEHMANN,PQ,1C,CNPq
JOHN WILLIAM MACQUARRIE,PQ,1D,CNPq
JONATAS SANTOS ABRAHAO,PQ,1B,CNPq
JORDANA GRAZZIELA ALVES COELHO DOS REIS,PQ,B,CNPq
JORGE ALEXANDRE BARBOSA NEVES,PQ,C,CNPq
JORGE GUSTAVO VELASQUEZ MELENDEZ,PQ,1C,CNPq
JOSE ELIEVAM BESSA JUNIOR,PQ,C,CNPq
JOSE GUILHERME COELHO BAETA,PQ,2,CNPq
JOSE IRINEU RANGEL RIGOTTI,PQ,2,CNPq
JOSE RACHID MOHALLEM,PQ,2,CNPq
JOSE RAIMUNDO MAIA NETO,PQ,1B,CNPq
JOSE ROBERTO PELLINI,PQ,1D,CNPq
JUAN CARLOS CAMPOS RUBIO,PQ,B,CNPq
JUAN CARLOS GONZALEZ PEREZ,PQ,1C,CNPq
JULIA ANGELICA GONCALVES DA SILVEIRA,PQ,C,CNPq
JULIANA ALVARES TEODORO,PQ,C,CNPq
JULIANA CALABRIA DE ARAUJO,PQ,1D,CNPq
JULIANA DE ASSIS SILVA GOMES ESTANISLAU,PQ,1D,CNPq
JULIANA DE MELO OCARINO,PQ,C,CNPq
JULIO EMILIO DINIZ PEREIRA,PQ,2,CNPq
JUNIA MARIA CHEIB SERRA NEGRA,PQ,2,CNPq
JURI CASTELFRANCHI,PQ,2,CNPq
JUSSARA MARQUES DE ALMEIDA GONCALVES,PQ,1C,CNPq
KARINA BRAGA GOMES,PQ,1D,CNPq
KELY CESAR MARTINS DE PAIVA,PQ,C,CNPq
KENIA LARA DA SILVA,PQ,2,CNPq
KENYA VALERIA MICAELA DE SOUZA NORONHA,PQ,2,CNPq
KLAUS WILHELM HEINRICH KRAMBROCK,PQ,1D,CNPq
KLEMENS AUGUSTINUS LASCHEFSKI,PQ,2,CNPq
LARISSA LOURES MENDES,PQ,C,CNPq
LASARA FABRICIA RODRIGUES,PQ,2,CNPq
LAURA GUIMARAES CORREA,PQ,2,CNPq
LEANDRO DE ARRUDA SANTOS,PQ,2,CNPq
LEANDRO MALARD MOREIRA,PQ,1D,CNPq
LEANDRO RODRIGUES ALVES DINIZ,PQ,2,CNPq
LEIDIVAN ALMEIDA FRAZAO,PQ,B,CNPq
LENIN MARTINS FERREIRA MORAIS,PQ,C,CNPq
LEONARDO AMARAL MOZELLI,PQ,C,CNPq
LEONARDO ANTONIO BORGES TORRES,PQ,2,CNPq
LEONARDO BARCI CASTRIOTA,PQ,1C,CNPq
LEONARDO COSTA RIBEIRO,PQ,C,CNPq
LEONARDO CRISTIANO CAMPOS,PQ,1D,CNPq
LEONARDO DE SOUSA FORTES,PQ,C,CNPq
LEONARDO HUMBERTO REZENDE DOS SANTOS,PQ,2,CNPq
LEONARDO JOSE CAMARGOS LARA,PQ,1D,CNPq
LEONARDO TEIXEIRA NEVES,PQ,2,CNPq
LILIAN LACERDA BUENO,PQ,1C,CNPq
LIRLANDIA PIRES DE SOUSA,PQ,1C,CNPq
LISANDRA ESPINDULA MOREIRA,PQ,2,CNPq
LIVIA SIMAN GOMES,DT,2,CNPq
LIZA FIGUEIREDO FELICORI VILELA,PQ,2,CNPq
LORENZO TEIXEIRA VITRAL,PQ,2,CNPq
LUANA CAROLINE DOS SANTOS,PQ,2,CNPq
LUANA GIATTI GONCALVES,PQ,2,CNPq
LUCAS BLEICHER,PQ,2,CNPq
LUCAS DA SILVA REIS,PQ,C,CNPq
LUCAS GUIMARAES ABREU,PQ,1C,CNPq
LUCCAS CASSIMIRO CAMPOS,PQ,2,CNPq
LUCIANA DE OLIVEIRA ANDRADE,PQ,2,CNPq
LUCIANA MACEDO DE RESENDE,PQ,2,CNPq
LUCIANA REGINA FERREIRA PEREIRA DA MATA,PQ,C,CNPq
LUCIANA SOARES LUZ DO AMARAL,PQ,C,CNPq
LUCIANO CUNHA DE ARAUJO PIMENTA,PQ,1D,CNPq
LUCILENE REZENDE ANASTACIO,PQ,2,CNPq
LUCIOLA DA SILVA BARCELOS,PQ,1D,CNPq
LUDMILA MENDONCA LOPES RIBEIRO,PQ,C,CNPq
LUDMILA RODRIGUES PINTO FERREIRA CAMARGO,PQ,C,CNPq
LUIS ANTONIO AGUIRRE,PQ,A,CNPq
LUIS CLAUDIO PEREIRA SYMANSKI,PQ,2,CNPq
LUIS EUGENIO FERNANDEZ OUTON,PQ,2,CNPq
LUIS FERNANDO RAGOGNETTE,PQ,C,CNPq
LUIS HENRIQUE FRANCO,PQ,1D,CNPq
LUISA CAMPOS CALDEIRA BRANT,PQ,2,CNPq
LUIZ ALBERTO CURY,PQ,2,CNPq
LUIZ ALEX SILVA SARAIVA,PQ,2,CNPq
LUIZ ARMANDO CUNHA DE MARCO,PQ,B,CNPq
LUIZ ARNALDO FERNANDES,PQ,2,CNPq
LUIZ CARLOS ALVES DE OLIVEIRA,PQ,1B,CNPq
LUIZ CHAIMOWICZ,PQ,2,CNPq
LUIZ CLAUDIO DE ALMEIDA BARBOSA,PQ,1A,CNPq
LUIZ FILIPE MENEZES VIEIRA,PQ,1D,CNPq
LUIZ FRANCISCO DIAS,PQ,2,CNPq
LUIZ GUSTAVO FARAH DIAS,PQ,1D,CNPq
LUIZ HENRIQUE ROSA,PQ,1A,CNPq
LUIZ MACHADO,PQ,1B,CNPq
LUZIA VALENTINA MODOLO,PQ,2,CNPq
LYSLEI DE SOUZA NASCIMENTO,PQ,2,CNPq
MAGNA MARIA INACIO,PQ,2,CNPq
MAGNO MORAES MELLO,PQ,2,CNPq
MAICON RODRIGUES ALBUQUERQUE,PQ,C,CNPq
MANUEL NOEL PAUL GEORGES HOUMARD,PQ,2,CNPq
MARCEL GIOVANNI COSTA FRANCA,PQ,B,CNPq
MARCELA MANSUR ALVES,PQ,2,CNPq
MARCELO ANDRADE CATTONI DE OLIVEIRA,PQ,A,CNPq
MARCELO ARAUJO CAMARA,PQ,2,CNPq
MARCELO AZEVEDO COSTA,PQ,1C,CNPq
MARCELO CAMPOS GALUPPO,PQ,C,CNPq
MARCELO GRECO,PQ,2,CNPq
MARCELO HENRIQUE MAMEDE LEWER,PQ,2,CNPq
MARCELO MACHADO VIANA,DT,C,CNPq
MARCELO MACIEL RAMOS,PQ,2,CNPq
MARCELO MARTINS DE SENA,PQ,C,CNPq
MARCELO RICARDO PEREIRA,PQ,2,CNPq
MARCELO RICHARD HILARIO,PQ,1C,CNPq
MARCELO RIZZATTI LUIZON,PQ,1D,CNPq
MARCIA CRISTINA DE BRITO RUMEU,PQ,2,CNPq
MARCIA MIRANDA SOARES,PQ,2,CNPq
MARCIA SIQUEIRA RAPINI,PQ,1D,CNPq
MARCIO FLAVIO DUTRA MORAES,PQ,1B,CNPq
MARCO ANTONIO PELIKY FONTES,PQ,1B,CNPq
